ID,Attrition,Degree_Type,Achieved_Credit_Points,Attendance_Type,Age,Failed_Credit_Points,International_student,First_in_family,Gender,GPA,OP_Score,Socio_Economic_Status,Teaching_Period_Admitted,Faculty
n100144,Retained,Single,132,Part Time,22,0,No,No,F,5.38,5,Medium,SEM-2,Faculty of Health
n100482,Retained,Single,96,Full Time,25,0,No,No,M,4.74,7,Medium,SEM-1,CI Faculty
n100863,Retained,Single,96,Full Time,20,0,No,No,F,5.5,12,Medium,SEM-1,CI Faculty
n101018,Retained,Double,96,Full Time,20,0,No,No,M,6.25,8,High,SEM-1,Sci and Eng Faculty
n102324,Not Retained,Single,0,Full Time,21,48,No,No,M,2.24,1,Medium,SEM-1,Faculty of Health
n102598,Retained,Single,12,Full Time,19,84,No,No,F,1.63,22,Medium,SEM-1,CI Faculty
n103066,Retained,Single,168,Full Time,26,0,No,Yes,M,4.5,12,Medium,SEM-1,Faculty of Health
n103171,Retained,Double,60,Full Time,25,0,No,Yes,F,5.4,16,Medium,SEM-1,Faculty of Health
n103445,Not Retained,Single,0,Full Time,20,36,No,No,M,1.01,7,Medium,SEM-1,QUT Business School
n103597,Retained,Single,132,Full Time,20,0,No,No,M,5.29,8,Medium,SEM-1,Faculty of Education
n104714,Not Retained,Single,36,Part Time,19,12,No,No,F,4.5,9,High,SEM-1,Faculty of Health
n105286,Retained,Single,108,Full Time,19,0,No,No,M,5.01,12,High,SEM-1,Sci and Eng Faculty
n105455,Retained,Single,96,Full Time,27,0,No,No,F,5.76,15,Medium,SEM-1,Faculty of Education
n105635,Retained,Single,108,Full Time,19,0,No,No,M,5.63,5,Medium,SEM-1,Faculty of Health
n105647,Not Retained,Single,12,Full Time,24,36,Yes,Yes,M,2.35,17,High,SEM-2,Faculty of Health
n105695,Not Retained,Single,12,Full Time,19,60,No,No,M,2.19,16,Medium,SEM-1,Sci and Eng Faculty
n106146,Retained,Single,96,Full Time,19,0,No,No,F,4.01,21,Medium,SEM-1,Faculty of Health
n106913,Retained,Single,96,Full Time,21,0,No,Yes,M,5.63,5,Medium,SEM-1,QUT Business School
n107454,Not Retained,Single,96,Full Time,20,0,Yes,No,M,6.51,1,Medium,SEM-1,Faculty of Education
n107921,Retained,Single,96,Full Time,23,0,Yes,No,M,5.73,8,Medium,SEM-1,Faculty of Health
n108160,Retained,Single,84,Full Time,21,12,No,No,F,4.24,12,Medium,SEM-1,Sci and Eng Faculty
n108899,Retained,Single,72,Full Time,19,24,No,No,M,4,6,High,SEM-1,QUT Business School
n109339,Retained,Single,96,Full Time,19,0,No,Yes,F,5.37,10,High,SEM-1,CI Faculty
n109678,Retained,Single,48,Full Time,22,0,No,No,M,7,17,High,SEM-2,Sci and Eng Faculty
n110022,Not Retained,Single,36,Full Time,19,0,No,No,F,5.67,25,High,SEM-2,CI Faculty
n110422,Retained,Single,168,Full Time,20,0,No,Yes,M,5.95,3,Low,SEM-1,Sci and Eng Faculty
n110661,Not Retained,Single,0,Full Time,19,0,No,Yes,M,0,11,Medium,SEM-1,Faculty of Law
n110723,Retained,Single,24,Full Time,19,36,No,Yes,M,2.61,14,Medium,SEM-1,QUT Business School
n111536,Not Retained,Single,12,Full Time,21,84,No,Yes,M,1.99,24,Low,SEM-1,Faculty of Law
n111551,Retained,Single,84,Full Time,21,0,Yes,No,F,5.14,1,Medium,SEM-1,CI Faculty
n111574,Not Retained,Single,60,Full Time,20,36,No,Yes,M,3.87,21,Medium,SEM-1,Sci and Eng Faculty
n112162,Retained,Single,180,Full Time,32,0,No,No,M,4.85,7,Medium,SEM-1,Sci and Eng Faculty
n112177,Retained,Single,96,Full Time,19,0,No,No,M,5.66,9,High,SEM-1,Faculty of Health
n112457,Retained,Single,0,Full Time,19,36,No,No,F,1.67,1,Low,SEM-2,QUT Business School
n113054,Retained,Single,96,Full Time,19,0,No,No,M,5.5,8,Medium,SEM-1,Faculty of Health
n113083,Retained,Single,24,Full Time,20,24,No,No,M,3.25,20,Medium,SEM-2,Sci and Eng Faculty
n113163,Retained,Single,96,Full Time,19,0,No,Yes,F,5,6,Medium,SEM-1,Faculty of Health
n113314,Retained,Single,0,Full Time,19,0,No,Yes,M,0.01,9,Medium,SEM-1,CI Faculty
n113448,Retained,Single,72,Full Time,19,24,No,Yes,F,3.76,7,Medium,SEM-1,Sci and Eng Faculty
n113616,Retained,Single,84,Full Time,21,12,Yes,No,M,4.39,18,Medium,SEM-1,Sci and Eng Faculty
n113712,Retained,Single,168,Full Time,21,0,No,No,M,6.48,15,Medium,SEM-1,Sci and Eng Faculty
n113808,Retained,Double,0,Full Time,20,0,Yes,No,F,0,6,Medium,SEM-1,Faculty of Health
n113889,Retained,Single,72,Full Time,23,24,Yes,No,M,4.01,2,Medium,SEM-1,Sci and Eng Faculty
n113987,Not Retained,Single,60,Full Time,19,36,No,No,F,4.14,5,Medium,SEM-1,Faculty of Health
n114115,Retained,Double,96,Full Time,19,0,No,Yes,M,5.98,1,Low,SEM-1,Sci and Eng Faculty
n114191,Not Retained,Single,24,Full Time,19,48,No,Yes,F,2.33,4,Low,SEM-1,CI Faculty
n114289,Retained,Single,24,Part Time,28,0,No,No,M,6.51,15,Medium,SEM-2,Sci and Eng Faculty
n114605,Retained,Single,144,Full Time,21,0,No,Yes,F,5.24,14,Medium,SEM-2,Faculty of Health
n114607,Retained,Single,96,Full Time,21,0,Yes,No,F,5.13,9,Medium,SEM-1,Faculty of Health
n114765,Retained,Single,0,Full Time,19,0,No,No,M,0.01,17,Medium,SEM-1,Faculty of Health
n114808,Retained,Double,156,Full Time,20,0,No,Yes,F,5.41,13,Medium,SEM-1,Faculty of Health
n115086,Retained,Single,96,Full Time,19,0,No,Yes,M,5.63,5,Medium,SEM-1,Sci and Eng Faculty
n115088,Not Retained,Single,48,Full Time,24,48,Yes,No,F,3.15,9,High,SEM-1,Faculty of Health
n115106,Retained,Single,96,Full Time,19,0,No,No,F,5.24,7,Medium,SEM-2,QUT Business School
n115811,Retained,Single,144,Full Time,21,0,No,Yes,F,6.01,22,Low,SEM-2,Faculty of Health
n115922,Retained,Single,96,Full Time,19,0,No,Yes,M,5.64,10,Medium,SEM-1,Sci and Eng Faculty
n116315,Retained,Single,240,Full Time,24,0,No,No,M,4.75,3,High,SEM-1,Faculty of Law
n116334,Not Retained,Single,0,Full Time,20,48,No,No,F,0.99,22,Low,SEM-1,CI Faculty
n116462,Not Retained,Single,96,Full Time,19,0,No,No,M,4.63,10,Low,SEM-1,Faculty of Health
n116683,Retained,Single,96,Full Time,20,0,Yes,No,F,5.89,9,Medium,SEM-1,CI Faculty
n116686,Retained,Single,96,Part Time,20,0,No,No,M,4.61,2,Medium,SEM-1,Faculty of Health
n116773,Retained,Single,36,Full Time,22,0,No,No,M,4.99,2,High,SEM-2,Sci and Eng Faculty
n117369,Retained,Single,48,Full Time,19,0,No,Yes,M,5.52,8,Low,SEM-2,Sci and Eng Faculty
n117866,Retained,Single,96,Full Time,19,0,No,No,F,5.13,5,Low,SEM-1,Faculty of Health
n118306,Retained,Single,0,Full Time,20,0,No,Yes,F,0.01,12,Medium,SEM-1,Sci and Eng Faculty
n118733,Retained,Single,72,Full Time,19,24,No,No,M,3.88,9,Medium,SEM-1,Sci and Eng Faculty
n119482,Retained,Single,48,Full Time,22,0,No,Yes,F,5.53,6,Low,SEM-2,Sci and Eng Faculty
n119585,Retained,Single,48,Full Time,19,0,No,Yes,M,4.74,8,Medium,SEM-1,QUT Business School
n119855,Not Retained,Single,60,Full Time,26,0,No,No,M,6,18,High,SEM-1,Sci and Eng Faculty
n120279,Retained,Single,72,Full Time,27,24,No,Yes,F,4.25,11,High,SEM-1,Faculty of Health
n120307,Retained,Single,12,Full Time,44,0,No,No,M,4,13,Low,SEM-1,Faculty of Law
n120608,Retained,Single,72,Full Time,20,72,No,Yes,M,3.69,9,Medium,SEM-1,Sci and Eng Faculty
